id,provinsi,jumlah_penduduk_ribu_2026,laju_pertumbuhan_pct_2026,distribusi_pct_2026,kepadatan_per_km2_2026,rasio_jenis_kelamin_2026,kepadatan_per_km2_2021,laju_1971_1980,laju_1980_1990,laju_1990_2000,laju_2000_2010,laju_2010_2016,laju_2010_2017,laju_2010_2018,laju_2010_2019,laju_2010_2020,laju_2020_2021,laju_2020_2022,laju_2020_2023,laju_2020_2024,u5mr_per1000_2020,cbr_per1000_2020,tfr_2020,imr_per1000_2020,catatan,pulau
1,ACEH,5695.9,1.34,1.98,100.0,100.9,92.0,2.93,2.72,1.46,2.36,2.01,1.98,1.96,1.93,1.56,1.49,1.43,1.41,1.39,22.88,19.64,2.42,19.41,,Sumatera
2,BALI,4488.2,0.68,1.56,804.0,100.2,755.0,1.69,1.18,1.31,2.15,1.21,1.2,1.18,1.17,1.01,1.4,1.29,0.73,0.71,15.37,15.42,2.04,13.26,,Lainnya
3,BANTEN,12641.3,1.05,4.4,1351.0,103.1,1248.0,,,3.21,2.78,2.23,2.2,2.17,2.14,1.1,1.76,1.66,1.22,1.16,16.15,16.51,2.01,13.83,,Jawa
4,BENGKULU,2163.3,1.28,0.75,108.0,104.1,102.0,4.39,4.38,2.97,1.67,1.69,1.67,1.65,1.63,1.55,1.48,1.4,1.35,1.32,23.38,,,19.73,,Sumatera
5,DI YOGYAKARTA,3802.7,0.63,1.32,1199.0,97.7,1185.0,1.1,0.57,0.72,1.04,1.18,1.17,1.16,1.15,0.58,1.61,1.44,0.67,0.65,12.62,13.69,1.89,10.9,,Jawa
6,DKI JAKARTA,10669.7,0.18,3.72,16129.0,100.5,15978.0,3.93,2.42,0.17,1.41,1.07,1.05,1.03,1.02,0.92,0.6,0.64,0.38,0.31,12.02,13.94,1.75,10.38,,Jawa
7,GORONTALO,1256.4,1.22,0.44,104.0,101.5,105.0,,,1.59,2.26,1.62,1.61,1.59,1.58,1.16,1.06,1.02,1.27,1.26,35.85,18.99,2.3,28.38,,Sulawesi
15,JAMBI,3811.7,1.25,1.33,78.0,103.0,72.0,4.07,3.4,1.84,2.56,1.8,1.78,1.75,1.72,1.34,1.39,1.33,1.33,1.3,19.98,18.4,2.28,16.99,,Sumatera
16,JAWA BARAT,51163.9,1.02,17.81,1381.0,102.3,1379.0,2.66,2.57,2.03,1.9,1.54,1.52,1.5,1.48,1.11,1.41,1.33,1.18,1.13,15.91,16.81,2.11,13.56,,Jawa
17,JAWA TENGAH,38565.0,0.95,13.43,1123.0,100.8,1120.0,1.64,1.18,0.94,0.37,0.79,0.78,0.77,0.76,1.17,0.83,0.81,1.01,0.99,14.81,15.7,2.09,12.77,,Jawa
18,JAWA TIMUR,42352.0,0.71,14.75,881.0,99.3,855.0,1.49,1.08,0.7,0.76,0.66,0.64,0.63,0.62,0.79,0.7,0.68,0.77,0.75,15.64,14.62,1.98,13.49,,Jawa
19,KALIMANTAN BARAT,5835.0,1.31,2.03,40.0,105.1,37.0,2.31,2.65,2.29,0.91,1.63,1.61,1.58,1.56,2.04,1.39,1.33,1.39,1.36,20.44,18.96,2.33,17.47,,Kalimantan
